id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,label,elevation,MNDWI,NDBI,NDVI,BSI
328_sample,1711,686,230,477,212,757,2646,3432,3687,3760,7,4.291351318,-0.563985375,-0.366061504,0.891254168,-0.341438356
329_sample,719.5,524.5,2230,2036.5,2147,2258.5,2952.5,3020.5,3446.5,3110.5,7,-0.433654785,0.477866473,-0.654584734,0.232323232,-0.328924265
330_sample,1434,576,211,453,194,766,2425,3070,2840,3350,7,-3.164154053,-0.519872814,-0.32896584,0.872116018,-0.304124813
331_sample,1682,661,232,421,181,692,2691,3416,3476,3868,7,0.214920044,-0.599619591,-0.347809228,0.901011758,-0.331179321
332_sample,2334.5,1668.5,652.5,889,945,1395,1999,2166.5,2287.5,2383,7,13.59510803,-0.448425624,0.010168758,0.415313225,0.054586382
333_sample,1861,1223,755.5,810.5,943,1306,1509.5,1645,1790,1858,7,-11.26696777,-0.39322478,0.019446727,0.309915843,0.048322273
334_sample,746,521.5,2343,2373.5,2497,2679,3190,3210,3287,3151.5,7,0.418945313,0.521718224,-0.63005207,0.136583679,-0.26901837
335_sample,3283,2417,625,966,1194,1561,1869,2041,2196,2223,7,0.83493042,-0.545304778,0.198393867,0.295575221,0.226911483
336_sample,3263,2420,500,853,1004,1609,1918,2077,2074,2262,7,0.607727051,-0.585519922,0.222784336,0.34762833,0.247478439
337_sample,1463,847,243,491,393,865,1959,2239,2328,2455,7,-0.482116699,-0.497441146,-0.228171986,0.711135612,-0.161508922
338_sample,2269,1116,323,563,596,1135,2258,2744,2686,3114,7,2.710723877,-0.60240113,-0.084157417,0.636806825,-0.024514811
339_sample,2382,1659,347,528,672.5,856,985.5,1105,1261,1294,7,-0.330688477,-0.637113402,0.307713423,0.304370313,0.310241287
340_sample,3021.5,2112,603,728,965,1202,1677.5,1908.5,1931,2248,7,-0.443237305,-0.611681558,0.220191822,0.333563536,0.222758991
341_sample,2005,1066,308,613,451,997,1479,1824,2386,1995,7,-2.903274536,-0.531703591,-0.08676839,0.682058513,-0.046213592
342_sample,1512,1151,677,744,803,907,1294,1359,1210,1419,7,2.233886719,-0.340425532,0.110947832,0.202185792,0.101856259
343_sample,3228,2126,555,799,1180,1437,1763,1927,2002,2155,7,0.256225586,-0.603178545,0.234416826,0.258328096,0.265757358
344_sample,1252,750,286,474,360,737,1454,1639,1774,1744,7,-1.931884766,-0.450753187,-0.172504957,0.662605436,-0.122004357
345_sample,2016,1544,251,414.5,489.5,713.5,913.5,1003,1060,1137.5,7,-0.656616211,-0.658917918,0.310793238,0.368183285,0.3129831
346_sample,811,554,2266.5,2421.5,2418.5,2733,3132,3063.5,3158.5,3058.5,7,-0.077148438,0.498221191,-0.591384305,0.132687825,-0.253683055
347_sample,1851,1368,459,656,812,1026,1336,1485,1672,1628,7,-0.565490723,-0.476665337,0.05080897,0.346215781,0.110972048
348_sample,3293,2420,698,1160,1512,1660,2062,2162,2568,2431,7,0.13092041,-0.479002919,0.123699027,0.258823529,0.190682691
349_sample,1968,915,309,488,569,874,1805,2236,2719,2874,7,0.510375977,-0.602605863,-0.160230425,0.653892944,-0.088230009
350_sample,2830,1965,417,698,820,1263,1648,1814,1732,2032,7,0.390106201,-0.60430839,0.240683911,0.357366771,0.258837731
351_sample,2909,2451.5,1220,1574,1806,2057.5,2143.5,2221,2137.5,2209.5,2,27.21568298,-0.297791657,0.152878232,0.084062381,0.168163518
352_sample,2171.5,1826.5,906.5,1108,1374.5,1590,1743.5,1844,1754.5,1931.5,2,51.17132568,-0.324287239,0.106214977,0.121444551,0.142580957
353_sample,3082,2295.4,1431.5,1899.6,2222.5,2447.166667,2534.8,2615.5,2644,2583.833333,2,21.328125,-0.237353461,0.076493189,0.086612555,0.131023454
354_sample,2014,1900.5,1481,1797,1975,1907.5,1837.5,1808,1908,1725.5,2,116.2392578,-0.056940436,0.027027027,-0.0172547,0.081322852
355_sample,4037,3591,1306,2066,2778,3062,3178,3306,3361,3254,2,43.82284546,-0.322955923,0.091376048,0.094966607,0.187075422
